,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero,Title,Hero Order,Role(s),Specialty(ies),Lane Recommendation(s),Health,Health Regen,Mana,Mana Regen,Attack Speed,Physical Damage,Magical Damage,Physical Defense,Magical Defense,Movement Speed,Energy,Energy Regen,Price,Specialty,Win Rate,Hero, Name Pasive Abilities,Ability,Pasive Deskripsi,Skill 1 Name Abilities,Skill 1 Ability,Skill 1 Pasive Deskripsi,Skill 2 Name Abilities,Skill 2 Ability,Skill 2 Pasive Deskripsi,Skill 3 Name Abilities,Skill 3 Ability,Skill 3 Pasive Deskripsi
Bane,"Bane, the Frozen King",11,Fighter/Mage,Push/Burst,EXP Lane/Jungling,2559,8.4,433,12,1.06 ┃ 100%,117,0,23,15,260,,,6500   299,Push/Burst,304W : 313L (49.27%),Bane,Shark Bite,Burst,Bane infuses his weapon with a stack of Tidal Energy each time he casts a skill (up to 2 stacks). Each of his subsequent Basic Attacks consumes a stack to deal (+135%Total Physical Attack)-(+170%Total Physical Attack) Physical Damage to nearby enemies (scales with level).,Crab Claw Cannon,Burst,"Bane fires his Crab Claw Cannon in the target direction, dealing 150(+160%Total Physical Attack) Physical Damage to the first enemy hit and then 150% damage to a random enemy behind them (prioritizes enemy heroes). Killing the first enemy increases the second hit's damage to 200%. Enemies hit are slowed by 10(+10%Total Magic Power)% for 1s.

Every 100 Physical Attack Bane possesses additionally reduces this skill's cooldown by 5%.",Ale,HEAL AoE,"Bane chugs his ale, recovering 200(+150%Total Magic Power) plus 6(+2.5%Total Magic Power)% of his lost HP and gaining 50% extra Movement Speed that decays over 2.5s.
Use Again: Bane spits venom in the target direction, dealing 250(+180%Total Magic Power) Magic Damage (scales up to 150% with charging time) to enemies in a fan-shaped area.

Every 100 Magic Power Bane possesses additionally reduces this skill's cooldown by 7%.",Deadly Catch,Burst CC,"Bane summons a school of sharks to charge in the target direction, dealing 600(+100%Total Physical Attack)(+170%Total Magic Power) Magic Damage to enemies hit, knocking them airborne for 0.4s, and slowing them by 65% (decays over 3s).

This skill deals 40% damage to turrets."
Bruno,"Bruno, the  Protector",12,Marksman,Finisher,Gold Lane,2522,6,439,15,1.01 ┃ 100%,140,0,17,15,240,,,15000   399,Reap/Burst,911W : 804L (53.12%),Bruno,Mecha Legs,BUFF,"Bruno gains 2% extra Crit Chance each time he deals damage with his skills (up to 10 stacks).
Bruno has higher Physical Attack but only gains 80% extra Attack Speed from all sources.
Note",Volley Shot,Damage Slow,"Bruno kicks a Powerball on his next Basic Attack, dealing 145(+100%Total Physical Attack) Physical Damage to the target, slowing them by 30%, and speeding up by 30% for 0.5s.

The Powerball then bounces back toward Bruno and lands on the ground. He or allied heroes can retrieve the Powerball for another attack and reduce the cooldown of Flying Tackle by 1s.",Flying Tackle,Blink CC,"Bruno makes a slide tackle in the target direction, dealing 140(+40%Total Physical Attack) Physical Damage to enemies in his path and stunning them for 0.5s.
If the Powerball is bouncing back, Bruno also draws the Powerball toward him.",Worldie,Burst CC,"Bruno kicks his Energy Ball at the target enemy hero, dealing them 250(+83%Total Physical Attack) Physical Damage and knocking them back. The Energy Ball then bounces between nearby enemies up to 10 times, each time dealing 150(+50%Total Physical Attack) Physical Damage. Each hit also reduces the enemy's Physical Defense by 4% for 8s (up to 3 stacks)."
Clint,"Clint, the West Justice",13,Marksman,Finisher,Gold Lane,2530,7.2,450,15,1.05 ┃ 100%,115,0,20,15,240,,,15000,Reap/Burst,808W : 832L (49.27%),Clint,Double Shot,Burst,"After each skill cast, Clint's next Basic Attack within 4s penetrates a line of enemies, dealing them 100(+120%Total Physical Attack) Physical Damage. This damage can trigger attack effects, and the part affected by Physical Attack can critically strike.",Quick Draw,AoE,"Clint fires 5 bullets in quick succession in the target direction, each dealing 250(+85%Total Physical Attack) Physical Damage to the enemy hit.
The bullets will spread evenly across enemies in a fan-shaped area. Enemies hit by multiple bullets will take less damage after the first bullet.",Trapping Recoil,Blink CC,"Clint shoots a trap net in the target direction, slightly jumping back while dealing 140(+30%Total Physical Attack)(+150%Total Magic Power) Physical Damage to the first enemy hit and immobilizing them for 1.2s.

Successfully hitting an enemy reduces the cooldown of this skill by 40%.",Grenade Bombardment,AoE Slow,"Clint launches a grenade in the target direction that explodes on the first enemy hit, dealing them 280(+100%Total Physical Attack) Physical Damage and slowing them by 25% for 1.2s.

Clint gains a grenade charge every 12s (up to 5)."
Rafaela,"Rafaela, the Wings of Holiness",14,Support,Regen,Roaming,2441,7.2,545,23,0.99 ┃ 100%,117,0,15,15,245,,,6500   299,Regen/Guard,684W : 712L (49%),Rafaela,Deity Penalization,Burst,"Upon death, Rafaela turns into a beam of Holy Light and launches herself at her killer after a 2s delay, dealing them True Damage equal to 20% of their Max HP. The attack can be blocked by other enemy heroes. This effect won't be triggered if the killer is a non-hero enemy or if they're too far away.",Light of Retribution,AoE Slow,"Rafaela strikes three nearest enemies with Light of Retribution, dealing them 225(+120%Total Magic Power) Magic Damage, briefly revealing their positions, and slowing them by 40% for 1.5s. Enemies hit by Light of Retribution again within 5s will take 20% extra damage (up to 3 stacks).",Holy Healing,HEAL Speed Up,"Rafaela calls upon Holy Light, restoring 250(+50%Total Magic Power) HP for herself and the most injured allied hero around her, 100(+25%Total Magic Power) HP for other nearby allied heroes, while granting herself and nearby allied heroes 50% extra Movement Speed for 1.5s.",Holy Baptism,CC AoE,"Active: Rafaela unleashes the true power of Holy Light in the target direction, dealing 460(+120%Total Magic Power) Magic Damage to enemies in a line and stunning them for 1.5s."
Eudora,"Eudora, the Lightning Weaver",15,Mage,Control,Mid Lane,2524,7.6,468,16,1 ┃ 100%,112,0,19,15,250,,,2000   399,Control/Burst,115W : 93L (55.29%),Eudora,Superconductor,BUFF,Eudora's skills inflict Superconductor for 3s on hit and can trigger additional effects against enemies affected by Superconductor.,Forked Lightning,AoE,"Eudora casts fork lightning in a target direction, dealing 350(+150%Total Magic Power) Magic Damage to enemies in a fan-shaped area.
Enemies affected by Superconductor will take 190(+30%Total Magic Power) extra Magic Damage after a short delay.",Ball Lightning,CC Damage,"Eudora hurls an orb of lightning at the target enemy, dealing them 350(+80%Total Magic Power) Magic Damage, stunning them for 1.2s, and reducing their Magic Defense by 10 for 1.8s.
If the enemy is affected by Superconductor, the lightning orb will bounce to up to 3 nearby enemies, dealing them 175(+40%Total Magic Power) Magic Damage and stunning them for 0.6s (prioritizes enemy heroes).",Thunder's Wrath,Burst,"Eudora calls down a blast of lightning on the target enemy, dealing them 480(+180%Total Magic Power) Magic Damage.
If the enemy is affected by Superconductor, dark clouds will form over their head and send down an extra lightning strike on the area below after a 0.8s delay, dealing 440(+150%Total Magic Power) Magic Damage to enemies within and 360(+150%Total Magic Power) Magic Damage to nearby
enemies."
Zilong,"Zilong, the Spear of Dragon",16,Fighter/Assassin,Chase/Damage,EXP Lane/Jungling,2689,7,405,16,1.2 ┃ 100%,123,0,25,15,265,,,15000,Chase/Damage,12W : 32L (27.27%),Zilong,Dragon Flurry,BUFF HEAL,"After every 3 Basic Attacks, Zilong attacks multiple times on his next Basic Attack, dealing 150% damage in total and healing himself by 50% Physical Attack.",Spear Flip,CC Damage,"Zilong flings the target enemy over his head, dealing them 250(+80%Total Physical Attack) Physical Damage.",Spear Strike,Blink Debuff,"Zilong lunges at the target enemy, dealing them 250(+60%Total Physical Attack) Physical Damage and reducing their Physical Defense by 15 for 2s. He then launches a Basic Attack on the same target. 
The cooldown of Spear Strike is reset each time Zilong kills an enemy.",Supreme Warrior,Speed Up BUFF,"Zilong removes all Slowing Effects on him and gains 40% Movement Speed, 45% Attack Speed, and Slow Immunity for 7.5s. For the duration, he can trigger Dragon Flurry after every 2 Basic Attacks (instead of the previous 3)."
Fanny,"Fanny, the Blade Dancer",17,Assassin,Chase,Jungling,2526,6.6,,,1.11 ┃ 100%,126,0,19,15,265,100,3,24000   499,Chase/Reap,571W : 586L (49.35%),Fanny,Air Superiority,BUFF,"During flight, Fanny deals 15%-30% extra damage to enemies hit (scales with flying speed) and applies a stack of Prey Mark to them (up to 2 stacks) on each attack. Her subsequent skill hits on marked enemy heroes restore 8 energy per stack for her. The energy restoration is reduced if she hits multiple enemy heroes within a short period of time.",Tornado Strike,AoE,"Fanny whirls her blades, dealing 320(+80%Total Physical Attack) Physical Damage to nearby enemies.",Steal Cable,Blink,"Fanny shoots a cable in the target direction that pulls her to the first obstacle hit. She can cast this skill again within 2s until her energy runs out. Each successive cast reduces the skill's energy cost by 2.

As long as her energy is sufficient, Fanny automatically casts Tornado Strike upon hitting an enemy mid-flight.",Cut Throat,Burst Blink,"Fanny strikes the target enemy or creep with her blades, dealing them 500(+240%Extra Physical Attack) Physical Damage. Each stack of Prey Mark on the enemy increases this damage by 20%."
Layla,"Layla, the Energy Gunner",18,Marksman,Finisher,Gold Lane,2500,5.4,424,14,1.06 ┃ 100%,125,0,15,15,240,,,2000   299,Reap/Damage,14W : 14L (50%),Layla,Malefic Gun,BUFF,"Layla deals increased damage to enemies farther away from her (from 100% to 140%, reaches the maximum at 6 units).",Malefic Bomb,Burst BUFF,"Layla fires a Malefic Energy Bomb in the target direction, dealing 200 (+80% Total Physical Attack) Physical Damage to the first enemy hit. This damage can critically strike.
Upon hitting an enemy, Layla gains extra Basic Attack range for 3s and 60% extra Movement Speed that decays over 1.2s. The duration of the Movement Speed boost is doubled if an enemy hero is hit.",Void Projectile,AoE Slow,"Layla fires an orb of Malefic Energy at the target enemy that explodes on hit, dealing 170 (+65% Total Physical Attack) Physical Damage to enemies in the area, slowing them by 30% for 1.2s, and marking them with a Malefic Mark.
Layla's subsequent attacks will detonate the mark, dealing 100 (+35% Total Physical Attack) extra Physical Damage to enemies in the area and slowing them by 30% for 1.2s.",Destruction Rush,Burst BUFF,"Layla fires a blast of Malefic Energy in the target direction, dealing 500 (+150% Total Physical Attack) Physical Damage to enemies in a line.
Passive: The range of Layla's Void Projectile and Basic Attacks is increased by 0.6 units. Her sight range is also slightly increased each time this skill is upgraded."
Minotaur,"Minotaur, the Son of Minos",19,Tank/Support,Crowd Control/[[]],Roaming,2859,8.8,0,0,0.91 ┃ 100%,123,0,18,10,260,,,15000   399,Crowd Control,595W : 668L (47.11%),Minotaur,Rage Mode,BUFF,"Minotaur gains Rage each time he deals or takes damage. When at max Rage, he can cast Enhanced Minoan Fury to enter the Enraged state, gaining 20 (+3*Hero Level) extra Physical Attack and 10 (+4*Hero Level) extra Physical & Magic Defense (scales with level), and enhanced skill effects. Cooldowns of his skills are also reset. After leaving the Enraged state, Minotaur will be unable to gain Rage or cast Minoan Fury for a while.",Despair Stomp,CC AoE,"Minotaur jumps to the target location, dealing 280 (+60% Total Physical Attack) Physical Damage to enemies in the area and knocking them airborne, reducing their Movement Speed by 40% and Attack Speed by 30% for 3s, while enhancing his Basic Attacks within the same duration. The enhanced Basic Attacks deal (+3% Total HP) extra Physical Damage on hit.
Enraged: Minotaur attacks enemies in a wider area and deals (+3% Total HP) extra Physical Damage.",Motivation Roar,HEAL BUFF,"Minotaur motivates himself and nearby allied heroes, restoring 260 HP for them and healing himself according to his lost HP. He also increases his and the allies' Attack Speed by 30% for 3s.
Enraged: Minotaur gains Enraged Regen for 2s, during which he restores HP each time he's hit by a Basic Attack.",Minoan Fury,BUFF CC,"Minotaur begins channeling, continuously gaining Rage. When at Max Rage, he can directly cast Enhanced Minoan Fury and enter the Enraged state.
Enhanced Minoan Fury: Minotaur smashes the ground 3 times, the first two times dealing 180 (+85% Total Physical Attack) Physical Damage to nearby enemies and slowing them by 70%. The final hit deals 200 (+85% Total Physical Attack) True Damage and knocks them airborne. When casting the skill, Minotaur is free from control effects."
Lolita,"Lolita, the Steel Elf",20,Support/Tank,Guard/Crowd Control,Roaming,2579,9.6,480,12,0.98 ┃ 100%,115,0,27,15,260,,,32000   599,Guard/Crowd Control,1209W : 1077L (52.89%),Lolita,Noumenon Energy Core,Shield,"After not taking damage in 5s, Lolita gains a 300(+40*Hero Level) shield for 20s. Allied heroes who approach Lolita within the next few seconds will also receive a shield.",Power Charge,Blink CC,"Lolita dashes in the target direction and enhances her next Basic Attack within 4 seconds. The enhanced Basic Attack deals  equal 200(+100%Total Physical Attack) plus 7.5% of the target's Max HP as Physical Damage, stuns the target for 0.8s, and allows Lolita to jump to the target's location. This damage is increased to 200(+100%Total Physical Attack) plus 50% of  the target's Max HP against minions.",Guardian's Reflection,Shield Damage,"Lolita raises her shield to block all incoming ranged Basic Attack and Projectiles from the target direction.
Use Again: Lolita launches a blast of energy in the  target direction that explodes on the first enemy hit, dealing 300(+50%Total Physical Attack) Physical Damage to enemies in the explosion range. Each blocked attack increases this damage by 35%(up to 210%).",Noumenon Blast,CC AoE,"Lolita triggers the shield from Noumenon Energy Core and begins channeling, slowing enemies in a cone in the target direction by 75%. After 2s or when the channeling is interrupted, Lolita slams her hammer on the ground, dealing 350(+100%Total Physical Attack)-700(+200%TotalPhysical Attack) Physical Damage to enemies in the same area. If the channeling is complete, she also stuns enemies hit for 2s.
Use Again: Lolita stops channeling and slams her hammer on the ground."
Hayabusa,"Hayabusa, the Crimson Shadow",21,Assassin,Chase,Jungling,2429,7.4,,,1.06 ┃ 100%,117,0,17,15,260,100,4,32000   599,Chase/Burst,1075W : 1031L (51.04%),Hayabusa,Ninjutsu: Trace of Shadow,BUFF,Hayabusa's attacks apply a stack of Shadow Mark on hit (up to 4 stacks). Each stack lasts 6s and increases Hayabusa's damage to the enemy by 5%.,Ninjutsu: Phantom Shuriken,Damage BUFF,"Hayabusa shoots three returning shurikens in the target direction, each dealing 170(+70%Extra Physical Attack) Physical Damage to enemies hit and slowing them by 35% for 2s. Enemies hit by multiple shurikens take only 30% of the damage after the first hit. Hayabusa restores 10 energy for each non-minion enemy hit.
Passive: Hayabusa gains 3% extra Spell Vamp each time Ninjutsu: Phantom Shuriken is leveled up.",Ninjutsu: Quad Shadow,Blink Summon,"Hayabusa dashes in the target direction and releases four phantoms that travel in separate directions. The phantoms will remain at the end of their paths or attach themselves to the first enemy hero hit, dealing them 130(+30%Extra Physical Attack) Physical Damage and slowing them by 40% for 2s. Hayabusa will immediately stop if he hits an enemy hero during the dash.
Use Again: Hayabusa teleports to a phantom's location and reduces the cooldown of Ninjutsu: Phantom Shuriken by 1s. If the phantom is attached to an enemy hero, he also deals 130(+30%Extra Physical Attack) Physical Damage to the enemy.",Ougi: Shadow Kill,Burst,"Hayabusa blends into the shadows and launches 6 single-target attacks on enemies in the area, each time dealing 140(+75%Extra Physical Attack) Physical Damage.
The attacks prioritize enemies with Shadow Mark, each consuming a stack to deal 45(+20%Extra Physical Attack) extra Physical Damage, but doesn't apply additional Shadow Mark stacks or enjoy the bonus damage from Shadow Mark."
