Name,Name Ability,Ability Deskirpsi,Attributes
Necklace of Durance,Life Drain,"Upon dealing damage to the target, reduces Shield and HP Regen of the target by 50% for 3s.","Magical Lifesteal:: + 10%
Cooldown Reduction:: + 5%
Magic Power:: + 60
Cooldown Reduction:: + 5%
Passive:: Life Drain"
Feather of Heaven,Affliction,Basic Attacks deal extra Magic Damage equal to 50 plus 30% Magic Power.,"Attack Speed:: + 30%
Cooldown Reduction:: + 5%
Magic Power:: + 55
Cooldown Reduction:: + 5%
Passive:: Affliction"
Winter Truncheon,0,"Freeze upon using. The hero can't do anything but will be immune to all DMG and debuff. Last 2s, CD 100s.","Health:: + 400
Armor:: + 25
Magic Power:: + 60
Active:: Frozen"
Enchanted Talisman,"Mana Spring, Magic Mastery",Regenerates 15% of Max Mana every 10s in total.,"Health:: + 250
Cooldown Reduction:: + 20%
Magic Power:: + 50
Cooldown Reduction:: + 20%
Passive:: Mana Spring, Magic Mastery"
Elegant Gem,Gift,Regens 20% HP and Mana within 2s of leveling up.,"Health:: + 300
Mana:: + 380
Passive:: Gift"
Exotic Veil,0,0,"Magic Power:: + 30
Movement Speed:: + 5%"
Azure Blade,Judgement,"In 3s after using the skill, the caster's next Basic Attack will deal additional 50 True Damage with a cooldown of 1.5s.","Mana Regen:: + 5
Cooldown Reduction:: + 5%
Cooldown Reduction:: + 5%
Passive:: Judgement"
Tome of Evil,0,0,"Mana Regen:: + 4
Cooldown Reduction:: + 8%
Magic Power:: + 35
Cooldown Reduction:: + 8%"
Magic Wand,0,0,Magic Power:: + 45
Mystic Container,0,0,"Magical Lifesteal:: + 10%
Magic Power:: + 15"
Book of Sages,0,0,"Cooldown Reduction:: + 5%
Magic Power:: + 8
Cooldown Reduction:: + 5%"
Magic Necklace,0,0,Mana Regen:: + 2
Power Crystal,0,0,Mana:: + 280
Mystery Codex,0,0,Magic Power:: + 15
Lantern of Hope,Lantern of Hope,The equipment's attributes scale with hero level.,"Cooldown Reduction:: + 4%
Magic Power:: + 20
Cooldown Reduction:: + 4%
Movement Speed:: + 4%
Passive:: Lantern of Hope"
Flower of Hope,Flower of Hope,"Every 6s, a skill or Basic Attack deals 60(+30% Total Physical Attack)(+30% Total Magic Power) extra Magic Damage.",Passive:: Flower of Hope
Magic Potion,Increase Power,"Automatically used after purchasing, increases Magic Power by 30 and Cooldown Reduction by 5% for 120s.",Passive:: Increase Power
Throw Forbidden,Heavy Mountain,Purchase this item and you will be immune when inflicted by an allied Jawhead.,Passive:: Heavy Mountain
Allow Throw,Trust,Purchase to allow your Jawhead teammate to fling you.,Passive:: Trust
Broken Heart,Heart Broken,"After purchasing, Cecilion will not be able to use Moonlit Waltz on you during this game.",Passive:: Heart Broken
Radiant Armor,Holy Blessing,"Increases own Magic Damage Reduction by 5-8 upon taking Magic Damage (scales with level), lasting for 3s and capped at 6 stacks.","Health:: + 950
Health Regen:: + 12
Magic Resistance:: + 52
Passive:: Holy Blessing"
Twilight Armor,Twilight,"Every 1.5s, the next attack deals extra Magic Damage equal to 35 plus 5% of the hero's Extra HP.","Health:: + 1200
Armor:: + 20
Passive:: Twilight"
Brute Force Breastplate,Brute Force,"Casting a skill or using Basic Attacks will increase Movement Speed by 2%, Physical & Magic Defense by 4. Lasts 4s. Stacks up to 5 times.","Armor:: + 45
Passive:: Brute Force"
Immortality,Immortal,Resurrect 2.5s upon death and gets 16% Max HP and 220-1200 shield that lasts for 3s. (Scales with hero level) This effect has a CD of 210s.,"Health:: + 800
Armor:: + 20
Passive:: Immortal"
Dominance Ice,Arctic Cold,+10% CD Reduction,"Mana:: + 500
Armor:: + 70
Movement Speed:: + 5%
Passive:: Arctic Cold"
Athena's Shield,Shield,Can be triggered when taking Magic Damage. Reduces Magic Damage taken by 25% for 3s (including the Magic Damage that triggers this effect). You will be able to trigger this effect again after leaving combat for 10s.,"Health:: + 900
Health Regen:: + 2
Magic Resistance:: + 62
Passive:: Shield"
Oracle,Bless,Raise shield absorption and HP regen effect by 30%.,"Health:: + 850
Magic Resistance:: + 42
Cooldown Reduction:: + 10%
Cooldown Reduction:: + 10%
Passive:: Bless"
Antique Cuirass,Deter,"When hit by an enemy hero's skill, reduces their Physical ATK by 8% for 2s (up to 3 stacks).","Health:: + 920
Health Regen:: + 4
Armor:: + 54
Passive:: Deter"
Guardian Helmet,Recovery,Regenerates 2.5% Max HP per second (reduced to 0.5% Max HP per second over 5s after taking damage).,"Health:: + 1550
Health Regen:: + 20
Passive:: Recovery"
Cursed Helmet,Burning Soul,Deals Magic Damage equal to 1.2% of hero's Max HP per second to nearby enemies. This damage is increased by 150% against minions.,"Health:: + 1200
Magic Resistance:: + 25
Passive:: Burning Soul"
Thunder Belt,Thunderbolt,"In 3s after using the skill, the caster's next Basic Attack will deal True Damage as much as 50 plus 5% of the caster's Extra Max HP to the enemy target and surrounding units and slow them by 40-80% (increases with the caster's Extra Max HP) for 1s. This effect has a 1.5s cooldown.","Health:: + 800
Mana Regen:: + 6
Armor:: + 40
Cooldown Reduction:: + 10%
Cooldown Reduction:: + 10%
Passive:: Thunderbolt"
Queen's Wings,Demonize,Reduces damage taken by 20% when health is less than 40% and increases your Spell Vamp by 35% for 5s. This effect has a cooldown of 60s.,"Health:: + 900
Cooldown Reduction:: + 10%
Attack Damage:: + 15
Cooldown Reduction:: + 10%
Passive:: Demonize"
Blade Armor,Bladed Armor,+20% Crit Damage Reduction,"Armor:: + 90
Passive:: Bladed Armor"
Steel Legplates,0,0,Armor:: + 45
Dreadnaught Armor,Deter,"When attacked by an enemy hero's skill, reduces their Physical ATK by 5% for 2s (up to 3 stacks).","Armor:: + 40
Passive:: Deter"
Black Ice Shield,0,0,"Mana:: + 400
Armor:: + 22
Cooldown Reduction:: + 10%
Cooldown Reduction:: + 10%"
Silence Robe,0,0,"Health:: + 540
Magic Resistance:: + 30"
Molten Essence,Burning Soul,Deals Magic Damage equal to 0.8% of hero's Max HP per second to nearby enemies. This damage is increased by 150% against minions.,"Health:: + 540
Passive:: Burning Soul"
Ares Belt,0,0,Health:: + 770
Hero's Ring,0,0,"Health:: + 150
Cooldown Reduction:: + 5%
Cooldown Reduction:: + 5%"
Healing Necklace,0,0,Health Regen:: + 4
Magic Resist Cloak,0,0,Magic Resistance:: + 18
Leather Jerkin,0,0,Armor:: + 18
Vitality Crystal,0,0,Health:: + 230
Rock Potion,Increase Power,"Automatically used after purchasing, increases Max HP by 500 and reduces duration of being controlled by 15% for 120s",Passive:: Increase Power
Demon Shoes,Mysticism,"Eliminations of enemy heroes and assists regenerates hero’s mana by 10%, while eliminating minions regenerates 4% of the hero’s mana.","Mana Regen:: + 6
Movement Speed:: + 40
Passive:: Mysticism"
Rapid Boots,Side Effect,Dealing or taking damage slows hero's movement speed by 40 for 5s.,"Movement Speed:: + 80
Passive:: Side Effect"
Swift Boots,0,"After dealing damage to a creep, deals (+2*Hero Level)(+2%Total HP) True Damage to the target over 3s (damage is increased by 100% for non-marksmen).","Attack Speed:: + 15%
Movement Speed:: + 40"
Arcane Boots,0,"After dealing damage to a creep, deals (+2*Hero Level)(+2%Total HP) True Damage to the target over 3s (damage is increased by 100% for non-marksmen).","Magical Penetration:: + 10
Movement Speed:: + 40"
Magic Shoes,0,"After dealing damage to a creep, deals (+2*Hero Level)(+2%Total HP) True Damage to the target over 3s (damage is increased by 100% for non-marksmen).","Cooldown Reduction:: + 10%
Cooldown Reduction:: + 10%
Movement Speed:: + 40"
Tough Boots,Fortitude,Duration of being controlled reduced by 30%.,"Magic Resistance:: + 22
Movement Speed:: + 40
Passive:: Fortitude"
Warrior Boots,Valor,"For each Basic Attack received, gains 5 extra Physical Defense (up to 25) for 3s.","Armor:: + 22
Movement Speed:: + 40
Passive:: Valor"
Boots,0,0,Movement Speed:: + 20
